Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
66	5.0	8.6602545	20.0	0.0	986.25	3.8463938	7.1525574e-07	3.8463945	3.8463945	268000	0.04336997	11.670034	0.0	-9.143073	2.8824804	1.2275407	0.87025	0.0	735.8581578731537
67	22.5	8.291562	30.0	10.0	774.25	0.79256827	5.9604645e-08	0.7925682	0.7925682	272000	0.0731849	13.551359	0.0	-2.32241	2.8823612	0.905951	0.64125	0.0	746.6333658695221
68	20.0	6.3245554	30.0	10.0	644.4	2.3305264	0.0	2.3305264	2.3305264	276000	0.07150481	8.09934	0.0	-0.06872952	2.882166	0.65131986	0.45975003	0.0	757.3178100585938
69	17.5	20.463383	50.0	0.0	791.25	2.0653193	7.1525574e-07	2.06532	2.06532	280000	0.03127814	13.086656	0.0	-0.10559833	2.8822935	0.9404576	0.66225004	0.0	768.0328538417816
70	14.0	12.0	30.0	0.0	799.6	1.7358222	2.3841858e-07	1.735822	1.735822	284000	0.045930788	8.200633	0.0	-0.0077717304	2.8823397	0.98450273	0.699	0.0	778.7463397979736
71	25.0	8.6602545	40.0	20.0	656.25	1.6463088	1.1920929e-07	1.6463089	1.6463089	288000	0.053955343	21.592188	0.0	-2.1512015	2.8822262	0.77597046	0.55050004	0.0	789.4470710754395
72	10.0	7.071068	20.0	0.0	826.0	3.135071	4.7683716e-07	3.1350715	3.1350715	292000	0.10556126	8.711117	0.0	-3.0452032	2.8823907	1.0195701	0.7195	0.0	800.090705871582
73	17.5	10.897247	30.0	0.0	623.75	1.3657813	3.5762787e-07	1.365781	1.365781	296000	0.041093968	7.5941563	0.0	-0.0027030706	2.882401	0.9703654	0.68499994	0.0	811.4657349586487
74	18.0	22.271057	60.0	0.0	683.2	1.4185842	2.3841858e-07	1.418584	1.418584	300000	0.027063057	13.056941	0.0	-0.017192543	2.8824105	1.0267118	0.72775	0.0	822.1531558036804
75	20.0	7.071068	30.0	10.0	611.0	1.5518019	0.0	1.5518019	1.5518019	304000	0.073728874	15.794382	0.0	-2.0469415	2.882174	0.6502747	0.45925	0.0	832.7267589569092
76	12.5	12.990381	30.0	0.0	748.75	3.0051167	2.3841858e-07	3.005117	3.005117	308000	0.01876796	8.861588	0.0	-2.969232	2.8824496	1.1661941	0.823	0.0	843.5118160247803
77	27.5	14.790199	50.0	10.0	695.0	1.255833	1.1920929e-07	1.2558331	1.2558331	312000	0.0611883	26.102915	0.0	-2.8000894	2.8822367	0.87134904	0.62125003	0.0	854.3419847488403
78	10.0	12.247449	30.0	0.0	850.5	2.9531488	2.3841858e-07	2.953149	2.953149	316000	0.03688809	9.159768	0.0	-3.4300737	2.8825052	1.132741	0.80725	0.0	864.8941750526428
79	7.5	8.291562	20.0	0.0	899.5	1.0777968	1.1920929e-07	1.0777969	1.0777969	320000	0.083264396	4.264812	0.0	-0.013061374	2.882463	1.091201	0.77750003	0.0	875.3193979263306
80	20.0	6.3245554	30.0	10.0	625.6	0.96184444	1.7881393e-07	0.96184427	0.96184427	324000	0.07742382	15.313706	0.0	-1.3501979	2.882232	0.7252761	0.5165	0.0	885.8246638774872
81	16.0	8.0	30.0	10.0	581.4	2.1410499	2.3841858e-07	2.1410496	2.1410496	328000	0.081869006	17.789387	0.0	-0.16846848	2.8821375	0.5879089	0.41250002	0.0	896.695063829422
82	16.0	10.198039	30.0	0.0	760.0	2.5579684	0.0	2.5579684	2.5579684	332000	0.07118335	7.587089	0.0	-0.45484126	2.8822837	0.89412403	0.637	0.0	907.0183057785034
83	20.0	14.142136	40.0	0.0	711.6	1.8727816	0.0	1.8727816	1.8727816	336000	0.06051587	13.396277	0.0	-0.30134398	2.8822904	0.8349573	0.59325004	0.0	917.5553827285767
84	20.0	7.5592895	30.0	10.0	466.14285	2.430296	0.0	2.430296	2.430296	340000	0.11107593	16.29027	0.0	-0.09865928	2.8820813	0.4151485	0.2945	0.0	928.5479588508606
85	8.0	7.483315	20.0	0.0	662.4	2.7490118	7.1525574e-07	2.749011	2.749011	344000	0.08995308	7.8250666	0.0	-3.7134972	2.8823872	0.9654528	0.68825	0.0	939.7301669120789
86	17.5	10.897247	30.0	0.0	701.5	0.7917367	5.9604645e-08	0.7917368	0.7917368	348000	0.057488814	10.55256	0.0	-1.4466894	2.88228	0.8219234	0.58225	0.0	950.4758758544922
87	12.0	11.661903	30.0	0.0	785.2	2.013525	0.0	2.013525	2.013525	352000	0.043322545	6.620941	0.0	-0.5349326	2.8824358	1.0822544	0.769	0.0	961.2524948120117
88	7.5	8.291562	20.0	0.0	794.75	1.2708162	2.3841858e-07	1.270816	1.270816	356000	0.06260896	4.6969233	0.0	-0.056699812	2.8823743	1.0127162	0.7155	0.0	972.0093078613281
89	22.0	21.354156	60.0	0.0	673.0	1.0292141	1.1920929e-07	1.0292143	1.0292143	360000	0.04242891	19.805737	0.0	-1.6692891	2.8823614	0.9369341	0.66725	0.0	982.7330069541931
90	12.5	12.990381	30.0	0.0	799.5	2.3399086	0.0	2.3399086	2.3399086	364000	0.05292606	11.15193	0.0	-0.83772874	2.882255	0.9374293	0.66375	0.0	993.47167801857
91	10.0	6.3245554	20.0	0.0	693.6	1.41208	1.1920929e-07	1.4120799	1.4120799	368000	0.1136384	7.5288067	0.0	-0.00010108948	2.8822618	0.86357313	0.612	0.0	1004.3300108909607
92	12.5	12.990381	30.0	0.0	884.25	1.4017961	0.0	1.4017961	1.4017961	372000	0.06064124	6.90057	0.0	-0.00026488304	2.8823755	0.9654443	0.68775	0.0	1015.032476902008
93	17.5	10.897247	30.0	0.0	677.5	1.4181982	2.3841858e-07	1.4181985	1.4181985	376000	0.063910425	15.543912	0.0	-1.1684722	2.8822703	0.80658185	0.5725	0.0	1025.6335079669952
94	17.5	10.897247	30.0	0.0	643.0	2.5082462	4.7683716e-07	2.5082457	2.5082457	380000	0.056130104	18.485144	0.0	-0.0006791353	2.882335	0.84478533	0.602	0.0	1036.4172670841217
95	22.5	4.3301272	30.0	20.0	683.25	2.4823468	0.0	2.4823468	2.4823468	384000	0.100612454	13.375175	0.0	-0.34691978	2.8820262	0.53216726	0.3775	0.0	1047.0603449344635
96	17.5	8.291562	30.0	10.0	796.5	3.0725145	7.1525574e-07	3.0725152	3.0725152	388000	0.0771899	13.17053	0.0	-1.5354638	2.8822637	0.8062924	0.57225	0.0	1057.7000358104706
97	20.0	7.071068	30.0	10.0	643.25	1.8292693	2.3841858e-07	1.829269	1.829269	392000	0.10024233	11.421991	0.0	-0.3593341	2.8823152	0.8885196	0.633	0.0	1068.4155769348145
98	25.0	11.18034	40.0	10.0	742.5	2.428879	2.3841858e-07	2.4288788	2.4288788	396000	0.073910385	16.584015	0.0	-0.119497895	2.8821607	0.70892215	0.5045	0.0	1078.9519228935242
